25								
Frequency	Complex	Real	Imaginary	Magnitude	Amplitude	Phase	Power as MSA	dB
60.00083	-5.19935E7 - 3.74022E7i	-5.20E+07	-3.74E+07	6.40E+07	1779.13405	-144.27015	1.58E+06	65.00417
120.00167	-9.49282E6 - 2.27915E7i	-9.49E+06	-2.28E+07	2.47E+07	685.81693	-13792.61206	235172.4292	56.72416
180.0025	-3.96864E6 - 364696.17716i	-3.97E+06	-364696.1772	3.99E+06	110.70455	-37974.74958	6127.74916	40.88331
240.00333	31802.61842 + 343442.26241i	31802.61842	343442.2624	344911.5744	9.58088	-69035.29048	45.8966	19.62811
								
10								
60.00083	1.16544E7 - 5.37159E7i	1.17E+07	-5.37E+07	5.50E+07	1526.82445	-77.75858	1.17E+06	63.67578
120.00167	1.56447E7 + 9.39876E6i	1.56E+07	9.40E+06	1.83E+07	506.96754	1110.99593	128508.0427	54.0996
180.0025	2.44391E6 + 2.0493E6i	2.44E+06	2.05E+06	3.19E+06	88.5946	-1400.01904	3924.50156	38.94815
240.00333	55421.51786 + 207331.68452i	55421.51786	207331.6845	214611.2114	5.96142	1875.03426	17.76928	15.507
								
5								
60.00083	-3.37399E7 - 3.84869E7i	-3.37E+07	-3.85E+07	5.12E+07	1421.72867	-131.23973	1.01E+06	63.05633
120.00167	3.73296E6 - 1.61333E7i	3.73E+06	-1.61E+07	1.66E+07	459.98642	-76.972	105793.7533	53.2549
180.0025	-1.4696E6 - 2.59778E6i	-1.47E+06	-2.60E+06	2.98E+06	82.90726	2040.50263	3436.80728	38.37185
240.00333	-251091.80321 - 13327.99205i	-251091.8032	-13327.99205	251445.2804	6.98459	7743.03842	24.39226	16.88282
